,estado,renda
0,brasil,1439
1,rondonia,1136
2,acre,890
3,amazonas,842
4,roraima,1044
5,para,807
6,amapa,880
7,tocantins,1056
8,maranhao,636
9,piaui,827
10,ceara,942
11,rio grande do norte,1057
12,paraiba,929
13,pernambuco,970
14,alagoas,731
15,sergipe,980
16,bahia,913
17,minas gerais,1358
18,espirito santo,1477
19,rio de janeiro,1882
20,sao paulo,1946
21,parana,1621
22,santa catarina,1769
23,rio grande do sul,1843
24,mato grosso do sul,1514
25,mato grosso,1403
26,goias,1306
27,distrito federal,2686
